"ColNum","Head1","Head2","SubFile","Evo","Reformat","VarName","Linked","Header"
86,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","3_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","3","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_3_Age.at.diagnosis"
87,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","3_Status","Diagnosis",,,"Status","3","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_3_Status"
88,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","4_Condition","Diagnosis",,"refactor","Condition","4","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_4_Condition"
89,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","4_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","4","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_4_Age.at.diagnosis"
90,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","4_Status","Diagnosis",,,"Status","4","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_4_Status"
91,"If.the.patient.has.been.tested.or.diagnosed.with.a.condition,.not.listed.above,.please.write.it.in.the.space.below.",,"Diagnosis",,,,,"If.the.patient.has.been.tested.or.diagnosed.with.a.condition,.not.listed.above,.please.write.it.in.the.space.below."
92,"How.old.was.the.patient.at.the.time.of.diagnosis.with.Phelan-McDermid.Syndrome.or.a.SHANK3.mutation?","Age_Years","Diagnosis",,,,,"How.old.was.the.patient.at.the.time.of.diagnosis.with.Phelan-McDermid.Syndrome.or.a.SHANK3.mutation?_Age_Years"
93,"How.old.was.the.patient.at.the.time.of.diagnosis.with.Phelan-McDermid.Syndrome.or.a.SHANK3.mutation?","Age_Months","Diagnosis",,,,,"How.old.was.the.patient.at.the.time.of.diagnosis.with.Phelan-McDermid.Syndrome.or.a.SHANK3.mutation?_Age_Months"
94,"What.are.the.results.of.the.patient's.genetic.test?",,"Diagnosis",,,,,"What.are.the.results.of.the.patient's.genetic.test?"
95,"What.are.the.results.of.the.patient's.genetic.test?","Other.Value","Diagnosis",,,,,"What.are.the.results.of.the.patient's.genetic.test?_Other.Value"
96,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Chromosomal.Deletion.[terminal/interstitial]","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Chromosomal.Deletion.[terminal/interstitial]"
97,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Ring","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Ring"
98,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Translocation","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Translocation"
99,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Inversion","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Inversion"
100,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Other.structural.changes","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Other.structural.changes"
101,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Mosaicism","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Mosaicism"
102,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","SHANK3.mutation.(including.point.mutations,.frame.shifts,.etc.)","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_SHANK3.mutation.(including.point.mutations,.frame.shifts,.etc.)"
103,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Chromosomal.Duplication","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Chromosomal.Duplication"
104,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Unsure","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Unsure"
105,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Other","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Other"
106,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?","Other.Value","Diagnosis",,,,,"What.are.the.patient's.chromosome.or.SHANK3.abnormalities?_Other.Value"
107,"What.testing.was.performed.to.determine.the.genetic.abnormality?","FISH","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_FISH"
108,"What.testing.was.performed.to.determine.the.genetic.abnormality?","Gene.sequencing","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_Gene.sequencing"
109,"What.testing.was.performed.to.determine.the.genetic.abnormality?","High-resolution.chromosome.analysis","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_High-resolution.chromosome.analysis"
110,"What.testing.was.performed.to.determine.the.genetic.abnormality?","CGH.(Comparative.Genomic.Hybridization,.Chromosomal.Microarray,.CMA,.or.Microarray)","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_CGH.(Comparative.Genomic.Hybridization,.Chromosomal.Microarray,.CMA,.or.Microarray)"
111,"What.testing.was.performed.to.determine.the.genetic.abnormality?","Unsure","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_Unsure"
112,"What.testing.was.performed.to.determine.the.genetic.abnormality?","Other","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_Other"
113,"What.testing.was.performed.to.determine.the.genetic.abnormality?","Other.Value","Diagnosis",,,,,"What.testing.was.performed.to.determine.the.genetic.abnormality?_Other.Value"
114,"How.was.the.testing.paid?","Private.insurance","Diagnosis",,,,,"How.was.the.testing.paid?_Private.insurance"
115,"How.was.the.testing.paid?","Medicaid","Diagnosis",,,,,"How.was.the.testing.paid?_Medicaid"
116,"How.was.the.testing.paid?","Fee-for-service.(paid.out.of.pocket)","Diagnosis",,,,,"How.was.the.testing.paid?_Fee-for-service.(paid.out.of.pocket)"
117,"How.was.the.testing.paid?","Research.study","Diagnosis",,,,,"How.was.the.testing.paid?_Research.study"
118,"How.was.the.testing.paid?","Unsure","Diagnosis",,,,,"How.was.the.testing.paid?_Unsure"
119,"How.was.the.testing.paid?","Other","Diagnosis",,,,,"How.was.the.testing.paid?_Other"
120,"How.was.the.testing.paid?","Other.Value","Diagnosis",,,,,"How.was.the.testing.paid?_Other.Value"
121,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Mother","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Mother"
122,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Father","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Father"
123,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Sibling","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Sibling"
124,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Grandparent","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Grandparent"
125,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Aunt/Uncle","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Aunt/Uncle"
126,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Cousin","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Cousin"
127,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","None","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_None"
128,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?","Unsure","Diagnosis",,,,,"Did.any.of.the.patient's.family.members.receive.genetic.testing.for.Phelan-McDermid.Syndrome.or.SHANK3.mutations?_Unsure"
129,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Chromosomal.Deletion.[terminal/interstitial]","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Chromosomal.Deletion.[terminal/interstitial]"
130,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Ring","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Ring"
131,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Translocation","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Translocation"
132,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Inversion","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Inversion"
133,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Other.structural.change","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Other.structural.change"
134,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Mosaicism","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Mosaicism"
135,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","SHANK3.mutation.(including.point.mutations,.frame.shifts,.etc.)","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._SHANK3.mutation.(including.point.mutations,.frame.shifts,.etc.)"
136,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Condition.unrelated.to.PMS.found","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Condition.unrelated.to.PMS.found"
137,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Unsure","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Unsure"
138,"If.the.family.member's.results.were.abnormal,.check.all.that.apply.","Not.applicable","Diagnosis",,,,,"If.the.family.member's.results.were.abnormal,.check.all.that.apply._Not.applicable"
139,"Is.one.of.the.parents.a.carrier.of.a.chromosomal.change.or.mutation?",,"Diagnosis",,,,,"Is.one.of.the.parents.a.carrier.of.a.chromosomal.change.or.mutation?"
140,"Does.one.of.the.parents.have.an.identical.chromosomal.change.or.mutation?",,"Diagnosis",,,,,"Does.one.of.the.parents.have.an.identical.chromosomal.change.or.mutation?"
141,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","1_Siblings","Diagnosis",,,"Siblings","1","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._1_Siblings"
142,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","1_Month","Diagnosis",,,"Month","1","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._1_Month"
143,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","1_Year","Diagnosis",,,"Year","1","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._1_Year"
144,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","2_Siblings","Diagnosis",,,"Siblings","2","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._2_Siblings"
145,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","2_Month","Diagnosis",,,"Month","2","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._2_Month"
146,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","2_Year","Diagnosis",,,"Year","2","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._2_Year"
147,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","3_Siblings","Diagnosis",,,"Siblings","3","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._3_Siblings"
148,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","3_Month","Diagnosis",,,"Month","3","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._3_Month"
149,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","3_Year","Diagnosis",,,"Year","3","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._3_Year"
150,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","4_Siblings","Diagnosis",,,"Siblings","4","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._4_Siblings"
151,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","4_Month","Diagnosis",,,"Month","4","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._4_Month"
152,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","4_Year","Diagnosis",,,"Year","4","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._4_Year"
153,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","5_Siblings","Diagnosis",,,"Siblings","5","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._5_Siblings"
154,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","5_Month","Diagnosis",,,"Month","5","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._5_Month"
155,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","5_Year","Diagnosis",,,"Year","5","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._5_Year"
156,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","6_Siblings","Diagnosis",,,"Siblings","6","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._6_Siblings"
157,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","6_Month","Diagnosis",,,"Month","6","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._6_Month"
158,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","6_Year","Diagnosis",,,"Year","6","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._6_Year"
159,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","7_Siblings","Diagnosis",,,"Siblings","7","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._7_Siblings"
160,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","7_Month","Diagnosis",,,"Month","7","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._7_Month"
161,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","7_Year","Diagnosis",,,"Year","7","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._7_Year"
162,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","8_Siblings","Diagnosis",,,"Siblings","8","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._8_Siblings"
163,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","8_Month","Diagnosis",,,"Month","8","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._8_Month"
164,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","8_Year","Diagnosis",,,"Year","8","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._8_Year"
165,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","9_Siblings","Diagnosis",,,"Siblings","9","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._9_Siblings"
166,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","9_Month","Diagnosis",,,"Month","9","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._9_Month"
167,"Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth.","9_Year","Diagnosis",,,"Year","9","Does.the.patient.have.siblings?.If.yes,.please.select.month.and.year.of.siblings'.birth._9_Year"
168,"Have.any.of.the.patient's.siblings.been.diagnosed.with.any.of.the.following.conditions?","1_Conditions","Diagnosis",,"refactor","Conditions","1","Have.any.of.the.patient's.siblings.been.diagnosed.with.any.of.the.following.conditions?_1_Conditions"
